"longitude","latitude"
2644590.05108494,1097757.53586575
2637395.54014528,1168346.61821838
2564703.05289421,1142344.5617194
2667319.80131994,1162963.23062793
2587094.08666543,1141029.02966023
2610474.21804211,1266183.65686491
2562422.92401849,1073998.98589863
2653819.85791127,1124244.77279668
2637202.51484844,1090049.26494117
2783620.20189534,1256461.13454717
2640033.61370216,1159890.88827517
2622416.75507799,1150459.90216432
2641753.91872579,1155288.64175414
2836466.73881205,1189045.34591696
2789534.37855717,1248032.14572039
2645627.92847471,1163887.65689738
2638340.09629975,1158961.94846824
2725590.30603011,1214347.19444988
2690605.0576767,1253529.52313308
2611435.8365988,1090323.76773046
2741465.10728535,1093723.72591999
2546033.02245074,1089081.02759576
2741870.44035228,1116537.92031975
2572688.15839153,1159344.27171404
2487171.61574149,1122068.6641349
2688755.13070769,1089780.39677073
2635970.74419751,1160236.87474006
2815544.22981722,1184704.11385996
2567670.36835118,1102789.05815843
2775765.2537614,1265283.05576118
2794217.45009634,1143181.53050145
2681791.70925381,1224285.61108019
2635039.20901277,1167094.11876987
2503844.63839961,1075960.04055225
2540405.34515454,1150742.11948191
2626881.17837369,1092491.601954
2845453.74268675,1130384.28210043
2837169.95690316,1265022.13803376
2748799.91428675,1237228.2660318
2738589.45243762,1082524.11259752
2559653.01041373,1086908.20880274
2569557.87542217,1148311.35174165
2694324.5409309,1168252.05805052
2570196.97450436,1133513.6564201
2779650.26392394,1161717.03404126
2632735.36990682,1171080.41610969
2624056.36720538,1096470.40212345
2801111.62608722,1146616.14579114
2500439.41947068,1117468.75599304
2622552.02934951,1211937.83269695
2555902.24858695,1086386.33338398
2555777.03804657,1085971.24060674
2710745.36586071,1225862.56819979
2657166.36660356,1177737.12565252
2739703.71719683,1086325.74116507
2728135.81051738,1109726.61628215
2819651.46098245,1207428.45981845
2693178.09590803,1212615.98260325
2538851.50693787,1079404.68072757
2572548.36837391,1159162.92992435
2774083.35661727,1142077.06539012
2679593.52921956,1244820.08319002
2665379.34547097,1211291.39082687
2764793.86752593,1218978.16743885
2817705.40649488,1101879.5004904
2841722.73386388,1127729.9738595
2818545.21591746,1186991.47123233
2784177.67362702,1151581.60176926
2529170.1000717,1081387.28588747
2801528.90714352,1234679.6784671
2802132.96800935,1199651.44200691
2549617.9699144,1085179.53296527
2831198.52372403,1157694.09537649
2552580.20735686,1207754.1029593
2744799.24171209,1105928.30218671
2632794.80202305,1170618.8352132
2618390.78681873,1087959.41057737
2652576.95758693,1139117.97685953
2755264.32960501,1117918.76419196
