"","id","latitude","longitude"
"226",4000883451,47.419502,10.350186
"227",1854569219,46.5475,7.981166
"228",4637709835,46.547999,7.982597
"231",5675336851,46.827432,10.521125
"232",2427659541,46.685291,7.690236
"233",4163037472,46.957024,10.053998
"236",8597644753,45.983081,7.782633
"238",5860553958,47.391558,9.381601
"239",30188142603,45.990953,7.706823
"245",9194919309,46.731666,7.438333
"248",5094738242,46.567218,10.388075
"249",3887080458,45.922974,6.870142
"250",4963221629,46.278631,9.793109
"251",3887432778,46.687099,7.8638
"252",318552824,46.027399,8.975991
"253",331073265,46.49872,7.682388
"254",15644859653,46.604733,7.921502
"255",339839400,46.273028,10.099278
"256",3982603059,45.820403,6.65044
"258",383120258,47.426722,10.037748
"259",8167577434,45.909356,9.818344
"260",3149857673,46.670701,7.830076
"261",8116902607,45.983052,7.783255
"264",46037521355,46.118644,9.25287
"265",6768814591,46.684629,7.861661
"266",1387762344,46.584305,7.083456
"267",5205233524,47.6285,7.8145
"269",1780591889,46.17094,9.869132
"270",2170929705,46.25894,8.838415
"271",541432202,46.802527,8.568692
"273",8949450459,45.879272,6.88685
"275",691592965,46.257152,8.837685
"276",34988343780,46.283006,9.688417
"277",2056769325,45.812409,9.33516
"278",4031424322,45.902752,6.887172
"279",8251187633,45.911884,9.317575
"280",28111348197,46.011299,7.754966
"284",6250077871,46.10478,7.231063
"285",4436903603,46.626589,9.748756
"286",319536287,46.431113,6.9107
"287",672511895,45.879881,8.445289
"288",2106034302,47.594501,10.560715
"289",363981785,46.430226,6.910572
"290",356177016,45.969004,7.635358
"296",327478418,47.009537,8.48241
"297",345973457,46.563315,7.882368
"298",342411188,46.27866,7.826385
"299",387547145,46.79123,9.817174
"301",400854266,46.450335,9.205319
"303",4099685539,46.627356,8.081853
"304",337741658,46.794184,8.155289
"306",352049904,46.483166,8.267
"307",347749606,46.429057,7.467613
"308",3958841846,45.805333,10.5515
"313",345241232,46.271267,8.589276
"318",9273931497,46.437467,6.916232
"319",349812959,46.379533,10.099289
"320",371045499,47.146316,10.252569
