"longitude","latitude"
2499699.458504,1120401.44309157
2716687.40854478,1160404.4202682
2683979.77822774,1246705.18828013
2788282.79227792,1150237.68070352
2680993.79086109,1233538.42197633
2567569.16585488,1129893.67035184
2636908.81147052,1158419.75283315
2719949.81170502,1116785.13346935
2498768.87097706,1116957.58512682
2537698.98194639,1150786.62092546
2699955.6361185,1149418.83448153
2496763.92807182,1118544.88055692
2567217.13080345,1182737.98944626
2689116.46107243,1254331.03319989
2683728.68242953,1244979.88661052
2592284.27521811,1115355.78124854
2508259.28440064,1137580.99421698
2501309.38991772,1140700.74079218
2538568.49949444,1184726.90905372
2705305.71978801,1114213.56749641
2497939.98157105,1116452.78473908
2497332.71285251,1133547.21860348
2500632.02549144,1118362.60503224
2498576.03276797,1117589.43478154
2499524.91240687,1117869.05083531
2500327.68620773,1117990.33728945
2706634.26487904,1279687.35199501
2600550.47491666,1198239.88108998
2526352.37395858,1149486.77788713
2683512.08044679,1246815.30699697
2638453.26552371,1162379.1713191
2600658.46964189,1207369.21941349
2704348.0361949,1231079.02576228
2554128.06239204,1172612.18174466
2782598.99783164,1183395.1319143
2534636.25573252,1152432.46511159
2665129.73915463,1232817.60283739
2595704.46734972,1136210.76360809
2658419.34609797,1221121.89203487
2647139.35253017,1162688.4958359
2662053.03686456,1203537.84305309
2547616.47616716,1148445.46912956
2692246.04863305,1247777.32224546
2689105.14295727,1221125.95593179
2579232.73984547,1183903.26043663
2756359.89345505,1224157.26234117
2501029.35581608,1100447.38008519
2683324.21731589,1248073.80055728
2500856.11375969,1117792.41131993
2709821.11281682,1096381.77074193
2693129.16019143,1189783.89275848
2552921.88773875,1200529.09461337
2756237.06118356,1224436.59605108
2756230.16501386,1224434.26456349
2666770.81178665,1211063.83820397
2695974.69512712,1234739.68432322
2728122.39390449,1280687.95674227
2550911.04696489,1147545.82185979
2682946.71766328,1244459.23394751
2638665.23007409,1162138.01019509
2687440.92807631,1231135.35573893
2628107.68943652,1175534.99480242
2697610.71253003,1265892.04836382
2498816.79990697,1119513.41134164
